,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-05-02 03:59:59.999,1619919900000,6.42930000,6.56090000,6.40000000,6.44540000,264137.20000000,1619920799999,1712280.33179000,3601,133696.90000000,866542.75364000,0
2021-05-02 04:14:59.999,1619920800000,6.44430000,6.72530000,6.41100000,6.66710000,341161.10000000,1619921699999,2242929.85266000,4074,206135.30000000,1353291.16960000,0
2021-05-02 04:29:59.999,1619921700000,6.66010000,6.81990000,6.57280000,6.77790000,436830.30000000,1619922599999,2938689.42093000,4666,196287.80000000,1319358.97371000,0
2021-05-02 04:44:59.999,1619922600000,6.77810000,6.81990000,6.67220000,6.78000000,321620.80000000,1619923499999,2173027.62620000,3705,162067.80000000,1094852.39992000,0
2021-05-02 04:59:59.999,1619923500000,6.77160000,6.78000000,6.59290000,6.62020000,239084.20000000,1619924399999,1600223.04559000,2728,110254.40000000,738370.86210000,0
2021-05-02 05:14:59.999,1619924400000,6.59860000,6.84000000,6.59860000,6.84000000,317248.50000000,1619925299999,2141244.78087000,3803,170390.30000000,1149362.87106000,0
2021-05-02 05:29:59.999,1619925300000,6.83440000,6.85000000,6.68990000,6.69300000,286935.20000000,1619926199999,1941669.57130000,3525,127759.10000000,865475.58380000,0
2021-05-02 05:44:59.999,1619926200000,6.69360000,6.72960000,6.38000000,6.50590000,634009.50000000,1619927099999,4114520.30748000,5972,320620.30000000,2078901.69406000,0
2021-05-02 05:59:59.999,1619927100000,6.51530000,6.54280000,6.18800000,6.36360000,622700.70000000,1619927999999,3928672.84181000,6164,306414.60000000,1932923.53475000,0
2021-05-02 06:14:59.999,1619928000000,6.36340000,6.79000000,6.07000000,6.49050000,1096525.70000000,1619928899999,6958560.28747000,10077,530491.20000000,3381285.15107000,0
